,accuracy,window-size,epochs,sub-sample,negative-sampling-dist,embedding-size,negative-samples-szie,learning-rate,mininum-count
0,0.4841666666666667,5.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
1,0.49158957106812445,9.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
2,0.49363867684478374,7.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
3,0.4953231292517007,5.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
4,0.49769198489299205,9.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
5,0.5008488964346349,7.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
6,0.5070182900893236,7.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
7,0.5143218197135636,3.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
8,0.5171392297926365,9.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
9,0.5172995780590718,3.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
10,0.5173728813559322,7.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
11,0.5233050847457628,3.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
12,0.5246808510638298,9.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
13,0.526494277236117,3.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
14,0.5285412262156448,3.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
15,0.5285653829877275,5.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
16,0.5307333615938957,9.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
17,0.5328749462827675,9.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
18,0.5360134003350083,3.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
19,0.5373891001267427,5.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
20,0.5407026563838904,7.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
21,0.5414717141641855,7.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
22,0.5453767123287672,5.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
23,0.5480103806228374,5.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
